universe,symbol,timeframe,ma_window,split,n_trades,win_rate,profit_factor,total_return_pct,t_stat
stocks_mt5,NVDA,15m,50,TRAIN,127,29.133858267716533,1.0958261500403434,5.379498171122377,0.4023605955017575
stocks_mt5,NVDA,15m,50,TEST,48,22.916666666666664,0.7219213690594062,-8.649758287379738,-0.9594858550857998
stocks_mt5,NVDA,30m,20,TRAIN,112,49.107142857142854,1.5415791830541234,39.66811425669749,1.972290793467302
stocks_mt5,NVDA,30m,20,TEST,40,37.5,1.026901153229775,0.2488128808499468,0.07557268282409901
stocks_mt5,NVDA,30m,50,TRAIN,72,36.11111111111111,1.219445101691639,11.50495145289161,0.7158056019778363
stocks_mt5,NVDA,30m,50,TEST,23,39.130434782608695,1.6242269365618938,11.087118053831135,0.9204034319802226
stocks_mt5,QCOM,15m,20,TRAIN,260,45.76923076923077,1.2516598938508088,27.215280274774933,1.442198123070862
stocks_mt5,QCOM,15m,20,TEST,93,52.68817204301075,1.5790889276492854,33.426802468527804,1.6876921376200578
stocks_mt5,QCOM,15m,50,TRAIN,136,30.88235294117647,0.9328700545670977,-6.24166292945918,-0.3221055212095735
stocks_mt5,QCOM,15m,50,TEST,46,26.08695652173913,0.8358771820827021,-7.645995159687868,-0.4619077660230781
stocks_mt5,QCOM,30m,20,TRAIN,119,43.69747899159664,1.3755553386549662,28.94239389325357,1.2361353718763348
stocks_mt5,QCOM,30m,20,TEST,39,35.8974358974359,0.8567868750480649,-7.965246424362404,-0.42263014500250157
stocks_mt5,QCOM,30m,50,TRAIN,70,27.142857142857142,0.8698773652216459,-10.02000657175336,-0.43660630523989213
stocks_mt5,QCOM,30m,50,TEST,25,32.0,1.111454317454652,2.20252915729644,0.20215565436383867
stocks_mt5,TSM,15m,20,TRAIN,270,40.74074074074074,1.0019681902772979,-0.7617725805226017,0.013337642253105452
stocks_mt5,TSM,15m,20,TEST,94,50.0,1.298632939968392,5.257348687806718,1.0716364163551348
stocks_mt5,TSM,15m,50,TRAIN,148,42.567567567567565,1.6330585269967857,42.150001430180104,2.4971005098932615
stocks_mt5,TSM,15m,50,TEST,54,44.44444444444444,1.4025863599459625,4.957702765102545,1.0555145932642145
stocks_mt5,TSM,30m,20,TRAIN,130,43.84615384615385,1.154015797786473,8.715618916359901,0.6932626521667765
stocks_mt5,TSM,30m,20,TEST,41,51.21951219512195,1.7503297658472659,7.764468654267587,1.4898563371500284
stocks_mt5,TSM,30m,50,TRAIN,66,39.39393939393939,1.2569351274978247,9.393988036470935,0.8020859322228836
stocks_mt5,TSM,30m,50,TEST,25,44.0,1.6999052652602604,5.350653586137688,1.146030909577932
indices_tv,SP500,15m,20,TRAIN,58,37.93103448275862,0.47490915124469624,-2.2018538974869273,-2.518988547766643
indices_tv,SP500,15m,20,TEST,24,41.66666666666667,1.0548422984562629,0.09986687281682283,0.11372117343025569
indices_tv,SP500,15m,50,TRAIN,41,29.268292682926827,0.5689291148430776,-1.538464098887582,-1.6913282771460152
indices_tv,SP500,15m,50,TEST,11,54.54545454545454,1.4165567804861336,0.3714795453555686,0.5326458169910807
indices_tv,SP500,30m,20,TRAIN,36,33.33333333333333,0.5188529789701652,-1.7511051904876451,-1.8464830211183272
indices_tv,SP500,30m,20,TEST,10,60.0,1.9128178395124633,0.7398304326803329,0.9128928950824862
indices_tv,SP500,30m,50,TRAIN,14,21.428571428571427,0.354594964673722,-1.2081618842745279,-1.8126684004382057
indices_tv,SP500,30m,50,TEST,4,50.0,1.0833567152332484,0.04980897833204434,0.0662433914562284
indices_tv,NAS100,15m,20,TRAIN,62,38.70967741935484,0.8537796551576722,-1.0849828510026582,-0.5368253918542137
indices_tv,NAS100,15m,20,TEST,20,60.0,2.0450356808782533,1.6797619388282614,1.3648530708287487
indices_tv,NAS100,15m,50,TRAIN,31,32.25806451612903,0.9934300560304613,-0.05027011350722255,-0.01611979913219439
indices_tv,NAS100,15m,50,TEST,10,60.0,1.9472752478510653,1.1369111612036464,0.9296396092777186
indices_tv,NAS100,30m,20,TRAIN,31,41.935483870967744,1.0804408434536679,0.3616865085071197,0.18994021372861006
indices_tv,NAS100,30m,20,TEST,9,77.77777777777779,3.400618474471166,2.126622374904974,1.6335864607856778
indices_tv,NAS100,30m,50,TRAIN,18,38.88888888888889,1.0571799131803503,0.18011142060732066,0.1065193994181611
indices_tv,NAS100,30m,50,TEST,4,50.0,1.4354256264987264,0.387452338726213,0.304781290388844
indices_tv,US30,15m,20,TRAIN,61,42.62295081967213,0.5595607710558783,-1.8513332393980675,-2.011837674791585
